state_name,state_name_slug,state_code,state_code_slug,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,gender,ethnicity,religion,date_of_birth,entered_office,term_end,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
Oklahoma,oklahoma,OK,ok,senator,republican,James Inhofe,james-inhofe,James,M.,Inhofe,,Jim,male,white-american,southern-baptist,11/17/1934,11/17/1994,1/3/2027,http://www.inhofe.senate.gov,https://www.inhofe.senate.gov/contact,https://facebook.com/jiminhofe,jiminhofe,https://twitter.com/jiminhofe,https://cdn.civil.services/us-senate/headshots/512x512/james-inhofe.jpg
Oklahoma,oklahoma,OK,ok,senator,republican,James Lankford,james-lankford,James,,Lankford,,,male,white-american,presbyterian,3/4/1968,1/3/2015,1/3/2023,http://www.lankford.senate.gov,https://www.lankford.senate.gov/contact/email,https://facebook.com/SenatorLankford,SenatorLankford,https://twitter.com/SenatorLankford,https://cdn.civil.services/us-senate/headshots/512x512/james-lankford.jpg
Oregon,oregon,OR,or,senator,democrat,Jeff Merkley,jeff-merkley,Jeff,,Merkley,,,male,white-american,lutheran,10/24/1956,1/3/2009,1/3/2027,http://www.merkley.senate.gov,https://www.merkley.senate.gov/contact/,https://facebook.com/jeffmerkley,SenJeffMerkley,https://twitter.com/SenJeffMerkley,https://cdn.civil.services/us-senate/headshots/512x512/jeff-merkley.jpg
Oregon,oregon,OR,or,senator,democrat,Ron Wyden,ron-wyden,Ron,,Wyden,,,male,white-american,jewish,5/3/1949,2/6/1996,1/3/2023,http://www.wyden.senate.gov,https://www.wyden.senate.gov/contact/,https://facebook.com/wyden,RonWyden,https://twitter.com/RonWyden,https://cdn.civil.services/us-senate/headshots/512x512/ron-wyden.jpg
Pennsylvania,pennsylvania,PA,pa,senator,republican,Patrick Toomey,patrick-toomey,Patrick,J.,Toomey,,Pat,male,white-american,roman-catholic,11/17/1961,1/3/2011,1/3/2023,http://www.toomey.senate.gov,https://www.toomey.senate.gov/?p=contact,https://facebook.com/senatortoomey,SenToomey,https://twitter.com/SenToomey,https://cdn.civil.services/us-senate/headshots/512x512/patrick-toomey.jpg
Pennsylvania,pennsylvania,PA,pa,senator,democrat,Robert Casey,robert-casey,Robert,P.,Casey,Jr.,Bob,male,white-american,roman-catholic,4/13/1960,1/3/2007,1/3/2019,http://www.casey.senate.gov,https://www.casey.senate.gov/contact/,https://facebook.com/SenatorBobCasey,SenBobCasey,https://twitter.com/SenBobCasey,https://cdn.civil.services/us-senate/headshots/512x512/robert-casey.jpg
Rhode Island,rhode-island,RI,ri,senator,democrat,Jack Reed,jack-reed,Jack,,Reed,,,male,white-american,roman-catholic,11/12/1949,1/3/1997,1/3/2027,http://www.reed.senate.gov,https://www.reed.senate.gov/contact/,https://facebook.com/SenJackReed,SenJackReed,https://twitter.com/SenJackReed,https://cdn.civil.services/us-senate/headshots/512x512/jack-reed.jpg
Rhode Island,rhode-island,RI,ri,senator,democrat,Sheldon Whitehouse,sheldon-whitehouse,Sheldon,,Whitehouse,,,male,white-american,episcopalian,10/20/1955,1/3/2007,1/3/2019,http://www.whitehouse.senate.gov,https://www.whitehouse.senate.gov/contact/email-sheldon,https://facebook.com/SenatorWhitehouse,SenWhitehouse,https://twitter.com/SenWhitehouse,https://cdn.civil.services/us-senate/headshots/512x512/sheldon-whitehouse.jpg
South Carolina,south-carolina,SC,sc,senator,republican,Lindsey Graham,lindsey-graham,Lindsey,,Graham,,,male,white-american,southern-baptist,7/9/1955,1/3/2003,1/3/2027,http://www.lgraham.senate.gov,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-gr...,https://facebook.com/USSenatorLindseyGraham,LindseyGrahamSC,https://twitter.com/LindseyGrahamSC,https://cdn.civil.services/us-senate/headshots/512x512/lindsey-graham.jpg
South Carolina,south-carolina,SC,sc,senator,republican,Tim Scott,tim-scott,Tim,,Scott,,,male,african-american,evangelical,9/19/1965,1/2/2013,1/3/2023,http://www.scott.senate.gov,https://www.scott.senate.gov/contact/email-me,https://facebook.com/SenatorTimScott,SenatorTimScott,https://twitter.com/SenatorTimScott,https://cdn.civil.services/us-senate/headshots/512x512/tim-scott.jpg
South Dakota,south-dakota,SD,sd,senate-majority-whip,republican,John Thune,john-thune,John,,Thune,,,male,white-american,evangelical,1/7/1961,1/3/2005,1/3/2023,http://www.thune.senate.gov,https://www.thune.senate.gov/public/index.cfm/contact,https://facebook.com/johnthune,SenJohnThune,https://twitter.com/SenJohnThune,https://cdn.civil.services/us-senate/headshots/512x512/john-thune.jpg
South Dakota,south-dakota,SD,sd,senator,republican,Mike Rounds,mike-rounds,Mike,,Rounds,,,male,white-american,roman-catholic,10/24/1954,1/3/2015,1/3/2027,http://www.rounds.senate.gov,https://www.rounds.senate.gov/contact/email-mike,https://facebook.com/SenatorMikeRounds,SenatorRounds,https://twitter.com/SenatorRounds,https://cdn.civil.services/us-senate/headshots/512x512/mike-rounds.jpg
Tennessee,tennessee,TN,tn,senator,republican,Marsha Blackburn,marsha-blackburn,Marsha,,Blackburn,,,female,white-american,unspecified,6/6/1952,1/3/2019,1/3/2025,https://www.blackburn.senate.gov/,https://www.blackburn.senate.gov/,https://facebook.com/marshablackburn,MarshaBlackburn,https://twitter.com/MarshaBlackburn,https://cdn.civil.services/us-senate/headshots/512x512/marsha-blackburn.jpg
